,ID,Status,Genotype,Sex,MinimumAge,MaximumAge,Food1,Food2,Temperature,#Flies,Starvedhrs,Date,averageSpeed_mm/s,xPosition_mm,yPosition_mm,inLeftPort,inRightPort,countLogDate,feedLogDate,GenoReduced,Light
80,21,Ctrl,w1118; uas-cschrimson,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_11-56-49,0.06855390696334211,5.537676292587028,4.422800746022965,0.0,0.0,2021-12-14_11-56-49,2021-12-14_11-56-52,Chr/w,Red Light On
81,22,Ctrl,w1118; r50h05-gal4,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_11-56-49,0.06426127352805452,6.834046863673822,14.301420611618306,0.0,19.617514049724562,2021-12-14_11-56-49,2021-12-14_11-56-52,R50H05/w,Red Light On
82,23,Test,r50h05-gal4>uas-cschrimson,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_11-56-49,0.9905362758588331,5.180451203448783,6.412859216879474,0.6606322897056678,0.5383701624835884,2021-12-14_11-56-49,2021-12-14_11-56-52,R50H05>Chr,Red Light On
83,24,Ctrl,w1118; uas-cschrimson,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_11-56-49,0.08628077188662418,7.183506195591714,5.915001718728123,0.0,0.008336054128778143,2021-12-14_11-56-49,2021-12-14_11-56-52,Chr/w,Red Light On
84,25,Ctrl,w1118; r50h05-gal4,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_11-56-49,1.1218434537219737,6.3855267828487525,8.051848532982866,1.6442866769014888,2.994727445763548,2021-12-14_11-56-49,2021-12-14_11-56-52,R50H05/w,Red Light On
85,26,Test,r50h05-gal4>uas-cschrimson,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_11-56-49,2.011097260449502,6.1191705533334755,5.485378757469682,0.4022146117135454,0.4251387605676853,2021-12-14_11-56-49,2021-12-14_11-56-52,R50H05>Chr,Red Light On
86,27,Ctrl,w1118; uas-cschrimson,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_11-56-49,2.093799590968657,6.7094034930435145,7.932976918376235,2.564031315776677,3.310108160302321,2021-12-14_11-56-49,2021-12-14_11-56-52,Chr/w,Red Light On
87,28,Ctrl,w1118; r50h05-gal4,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_11-56-49,0.1736211069194972,6.614723471238699,9.461025073433355,0.097253964835745,0.05974172125624336,2021-12-14_11-56-49,2021-12-14_11-56-52,R50H05/w,Red Light On
88,29,Test,r50h05-gal4>uas-cschrimson,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_11-56-49,0.9396860796898335,6.896295024140778,5.556380954389274,0.9669822789382646,0.9461421436163192,2021-12-14_11-56-49,2021-12-14_11-56-52,R50H05>Chr,Red Light On
89,30,Ctrl,w1118; uas-cschrimson,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_11-56-49,2.1198268411602257,6.276641493563651,8.353479396243825,4.628594055004064,2.4799761033114973,2021-12-14_11-56-49,2021-12-14_11-56-52,Chr/w,Red Light On
90,1,Ctrl,w1118; uas-cschrimson,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_14-15-09,1.873549116713844,7.849480362620591,7.267927715924876,3.014872909908095,2.808555570220836,2021-12-14_14-15-09,2021-12-14_14-15-12,Chr/w,Red Light On
